output,title,Input
"Die Qualität von Gesundheitssystemen zu beurteilen ist schwierig. So muss beispielsweise ein hoher Anteil an Kranken in der Bevölkerung nicht unbedingt auf eine schlechte medizinische Versorgung hindeuten. Im Gegenteil wird ein Diabetiker in einem Land mit schlechter medizinischer Versorgung bald sterben und damit aus der Krankenstatistik herausfallen. In einem Land mit guter medizinischer Versorgung hingegen kann er noch lange weiterleben, wird in der Statistik aber als Kranker geführt. Ein hoher Anteil kranker Menschen an der Bevölkerung ist allerdings ein Indiz dafür, dass die medizinische Versorgung sich mehr um die Behandlung von Symptomen kümmert als um die Beseitigung der Ursachen. Der Diabetiker erhält beispielsweise Insulin, um mit seiner Erkrankung weiterleben zu können, die konkreten Ursachen der Funktionsstörung werden aber nicht fest- und gegebenenfalls abgestellt. Ähnlich sieht es bei einer Reihe weiterer, im Wesentlichen durch Ernährung und Lebensstil bedingter Erkrankungen aus, die für einen großen Teil der Pflegefälle verantwortlich sind.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Die Qualität Gesundheitssystemen beurteilen schwierig', ' So beispielsweise hoher Anteil Kranken Bevölkerung nicht unbedingt schlechte medizinische Versorgung hindeuten', ' Im Gegenteil Diabetiker Land schlechter medizinischer Versorgung bald sterben Krankenstatistik herausfallen', ' In Land guter medizinischer Versorgung hingegen lange weiterleben, Statistik Kranker geführt', ' Ein hoher Anteil kranker Menschen Bevölkerung allerdings Indiz dafür, medizinische Versorgung mehr Behandlung Symptomen kümmert Beseitigung Ursachen', ' Der Diabetiker erhält beispielsweise Insulin, Erkrankung weiterleben können, konkreten Ursachen Funktionsstörung nicht fest- gegebenenfalls abgestellt', ' Ähnlich sieht Reihe weiterer, Wesentlichen Ernährung Lebensstil bedingter Erkrankungen aus, großen Teil Pflegefälle verantwortlich sind']"
"Die Weltgesundheitsorganisation hat eine Rangordnung der Gesundheitssysteme ihrer 191 Mitgliedsländer aufgestellt. Verglichen wurde anhand der oben genannten Ziele – Gesundheitsniveau, Bedürfnisorientierung und Finanzierungsgerechtigkeit – auf der Grundlage von Daten aus dem Jahr 1997. Die Studie ergab die Platzierungen in der oben stehenden Tabelle.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Die Weltgesundheitsorganisation Rangordnung Gesundheitssysteme 191 Mitgliedsländer aufgestellt', ' Verglichen wurde anhand oben genannten Ziele – Gesundheitsniveau, Bedürfnisorientierung Finanzierungsgerechtigkeit – Grundlage Daten Jahr 1997', ' Die Studie ergab Platzierungen oben stehenden Tabelle']"
"Nach einer internationalen Studie unter Leitung der University of Washington hat sich die Gesundheit von 1990 auf 2015 in 167 von 195 Ländern verbessert. Die beste Bewertung von Zugang und Qualität der Gesundheitsversorgung erhielt 2015 Andorra, gefolgt von Island und der Schweiz; Österreich erreichte den 13. und Deutschland den 20. Rang.",https://de.wikipedia.org/wiki/Gesundheitssystem,"['Nach internationalen Studie Leitung University of Washington Gesundheit 1990 2015 167 195 Ländern verbessert', ' Die beste Bewertung Zugang Qualität Gesundheitsversorgung erhielt 2015 Andorra, gefolgt Island Schweiz; Österreich erreichte 13', ' Deutschland 20', ' Rang']"
"Im Deutschen Ärzteblatt wird der Studie allerdings eine zu geringe und unseriös gewählte Datenbasis und eine politische Färbung vorgeworfen. Außerdem wird darin kritisiert, dass sich die Rankings in den einzelnen Kategorien der Studie sehr stark unterscheiden.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Im Deutschen Ärzteblatt Studie allerdings geringe unseriös gewählte Datenbasis politische Färbung vorgeworfen', ' Außerdem darin kritisiert, Rankings einzelnen Kategorien Studie stark unterscheiden']"
Die internationalen Patientensicherheitsziele dienen der weltweiten Qualitätssicherung in der Medizin.,https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,['Die internationalen Patientensicherheitsziele dienen weltweiten Qualitätssicherung Medizin']
"Das Bildungssystem in Deutschland ist fünfstufig. Die fünf Stufen sind die Primarstufe, die Sekundarstufe I und Sekundarstufe II, der tertiäre und der quartäre Bereich, zu dem vorwiegend die Weiterbildungsangebote gehören, beispielsweise beruflicher Anbieter oder der Volkshochschule. Insofern begleitet das deutsche Bildungssystem den Menschen lebenslang. Dem Bildungssystem wird bisher der Vorschulbereich nicht zugerechnet, wenn auch einige Ländergesetze dies bereits geändert haben. Die Kultusministerkonferenz zählt ebenfalls bereits den Elementarbereich zum Bildungssystem. Nach dem Kindergarten/der Vorschulzeit beginnt der Bildungsweg mit der obligatorischen Grundschule.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Das Bildungssystem Deutschland fünfstufig', ' Die fünf Stufen Primarstufe, Sekundarstufe I Sekundarstufe II, tertiäre quartäre Bereich, vorwiegend Weiterbildungsangebote gehören, beispielsweise beruflicher Anbieter Volkshochschule', ' Insofern begleitet deutsche Bildungssystem Menschen lebenslang', ' Dem Bildungssystem bisher Vorschulbereich nicht zugerechnet, Ländergesetze bereits geändert haben', ' Die Kultusministerkonferenz zählt ebenfalls bereits Elementarbereich Bildungssystem', ' Nach Kindergarten/der Vorschulzeit beginnt Bildungsweg obligatorischen Grundschule']"
"Da wegen der Kulturhoheit der Länder die Zuständigkeit für das Schul- und Hochschulwesen in Deutschland bei den Ländern liegt, können Teile des Bildungssystems unterschiedlich gestaltet und benannt sein. Das Bildungssystem folgt jedoch einem bundesweit gültigen Grundgerüst, und es werden zunehmend gemeinsame Bildungsstandards etabliert. Bei Schulleistungsuntersuchungen bzw. Bildungsstudien schneidet Deutschland im weltweiten Vergleich häufig nur mittelmäßig oder sogar unterdurchschnittlich ab, wobei einzelne Länder wie Sachsen und Bayern deutlich besser abschneiden als der Rest Deutschlands.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Da wegen Kulturhoheit Länder Zuständigkeit Schul- Hochschulwesen Deutschland Ländern liegt, Teile Bildungssystems unterschiedlich gestaltet benannt sein', ' Das Bildungssystem folgt jedoch bundesweit gültigen Grundgerüst, zunehmend gemeinsame Bildungsstandards etabliert', ' Bei Schulleistungsuntersuchungen bzw', ' Bildungsstudien schneidet Deutschland weltweiten Vergleich häufig mittelmäßig sogar unterdurchschnittlich ab, wobei einzelne Länder Sachsen Bayern deutlich besser abschneiden Rest Deutschlands']"
"Die Anfänge des deutschen Bildungswesens liegen im frühen Mittelalter. Eine institutionalisierte Form der Ausbildung oblag für viele Jahrhunderte der Kirche. Sie unterhielt zur Bildung des Kleriker­nachwuchses meist Dom-, Stifts- oder Klosterschulen sowie Lateinschulen, in denen Söhne, vorwiegend des Adels, später auch der bürgerlichen Oberschicht, unterrichtet wurden. Neben dieser theologisch orientierten Ausbildung gab es eine zweite Gruppe innerhalb des Adels, die Ritterschaft, die ein eigenes Erziehungswesen ausbildete. In ihm wurden das Kriegshandwerk und die Bewirtschaftung und Führung der Güter in den Vordergrund gestellt. Ab etwa 1100 wurde von den Zünften eine handwerkliche Lehre bei einem Meister gewährleistet, die als Frühform der heutigen Berufsbildung gilt. Die meisten Jungen wurden jedoch ausschließlich von ihren Eltern zu Hause unterrichtet. Auch das Hochschulwesen hat im Mittelalter seine Wurzeln. So wurde die erste Universität auf dem heutigen deutschen Staatsgebiet, die Universität Heidelberg, 1386 gegründet.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Die Anfänge deutschen Bildungswesens liegen frühen Mittelalter', ' Eine institutionalisierte Form Ausbildung oblag viele Jahrhunderte Kirche', ' Sie unterhielt Bildung Kleriker\xadnachwuchses meist Dom-, Stifts- Klosterschulen sowie Lateinschulen, denen Söhne, vorwiegend Adels, später bürgerlichen Oberschicht, unterrichtet wurden', ' Neben theologisch orientierten Ausbildung gab zweite Gruppe innerhalb Adels, Ritterschaft, eigenes Erziehungswesen ausbildete', ' In wurden Kriegshandwerk Bewirtschaftung Führung Güter Vordergrund gestellt', ' Ab etwa 1100 wurde Zünften handwerkliche Lehre Meister gewährleistet, Frühform heutigen Berufsbildung gilt', ' Die meisten Jungen wurden jedoch ausschließlich Eltern Hause unterrichtet', ' Auch Hochschulwesen Mittelalter Wurzeln', ' So wurde erste Universität heutigen deutschen Staatsgebiet, Universität Heidelberg, 1386 gegründet']"
"Die breitere Entwicklung des allgemeinbildenden Schulsystems setzte erst im Spätmittelalter und mit der Reformation ein. So entstanden in den Städten neben den größeren Dom- und Klosterschulen an städtischen Pfarrkirchen Gemeindeschulen, Schreibschulen in Verantwortung der Kommunen, private sogenannte Winkelschulen für bürgerliche Söhne sowie Schulen, die kaufmännische Kenntnisse, z. B. der Kameralistik, vermittelten. Spezielle Standesschulen kamen auf, etwa als Ritterakademien, dem Vorläufer der sich später ausbildenden Realschule.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Die breitere Entwicklung allgemeinbildenden Schulsystems setzte erst Spätmittelalter Reformation ein', ' So entstanden Städten neben größeren Dom- Klosterschulen städtischen Pfarrkirchen Gemeindeschulen, Schreibschulen Verantwortung Kommunen, private sogenannte Winkelschulen bürgerliche Söhne sowie Schulen, kaufmännische Kenntnisse, z', ' B', ' Kameralistik, vermittelten', ' Spezielle Standesschulen kamen auf, etwa Ritterakademien, Vorläufer später ausbildenden Realschule']"
"Erst ab dem 18. Jahrhundert erfassten die Schulen zunehmend alle Kinder in Stadt und Land, wobei gewerbliche Sonntagsschulen und Gewerbeschulen hinzukamen. Auch eine schulische Grundausbildung von Mädchen erlangte zunehmend an Bedeutung. Von einigen Historikern wird die Einführung der allgemeinen Schulpflicht als bedeutender Meilenstein dieser Entwicklung für die damalige Zeit gesehen, die heute jedoch von vielen Bildungsforschern kritisiert wird. Nach einigen kleineren Territorien wurde sie zwar für ganz Preußen im Generallandschulreglement 1763 gesetzlich eingeführt, aber nur langsam in den Volksschulen durchgesetzt.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Erst ab 18', ' Jahrhundert erfassten Schulen zunehmend Kinder Stadt Land, wobei gewerbliche Sonntagsschulen Gewerbeschulen hinzukamen', ' Auch schulische Grundausbildung Mädchen erlangte zunehmend Bedeutung', ' Von Historikern Einführung allgemeinen Schulpflicht bedeutender Meilenstein Entwicklung damalige Zeit gesehen, heute jedoch vielen Bildungsforschern kritisiert wird', ' Nach kleineren Territorien wurde ganz Preußen Generallandschulreglement 1763 gesetzlich eingeführt, langsam Volksschulen durchgesetzt']"
"Die Weimarer Republik führte 1920 die obligatorische vierklassige Grundschule innerhalb der Volksschule ein. Weitergehende Forderungen der Reichsschulkonferenz blieben unerfüllt. Der Anteil humanistischer Gymnasien ging zurück, dafür traten die modernen Fremdsprachen und Naturwissenschaften in den höheren Schulen stärker hervor. Diese Form des Bildungssystems blieb im „Dritten Reich“ trotz ideologischer Einflussnahme bis 1945 weitgehend erhalten. Das Abitur, nach acht Gymnasialjahren, wurde 1937 eingeführt, um einer „Überbildung“ entgegenzutreten. Auch wurden Spezialschulen zur Formung einer NS-Elite gegründet.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Die Weimarer Republik führte 1920 obligatorische vierklassige Grundschule innerhalb Volksschule ein', ' Weitergehende Forderungen Reichsschulkonferenz blieben unerfüllt', ' Der Anteil humanistischer Gymnasien ging zurück, dafür traten modernen Fremdsprachen Naturwissenschaften höheren Schulen stärker hervor', ' Diese Form Bildungssystems blieb „Dritten Reich“ trotz ideologischer Einflussnahme 1945 weitgehend erhalten', ' Das Abitur, acht Gymnasialjahren, wurde 1937 eingeführt, „Überbildung“ entgegenzutreten', ' Auch wurden Spezialschulen Formung NS-Elite gegründet']"
"1949 bestätigte das Grundgesetz für die Bundesrepublik Deutschland den Bundesländern im Kulturföderalismus die Bildungshoheit , die sie bereits in der Weimarer Republik innehatten. Sie führten auch die Schularten und die Schuldauer wieder ein . Zu Anfang waren sie vorsichtig bemüht, das regional noch sehr unterschiedliche Schulsystem einheitlicher zu gestalten und langsam auszubauen. Das Hamburger Abkommen 1964 setzte aber einen gemeinsamen Rahmen, u. a. durch die Einführung der Hauptschule. Dagegen wurde das Bildungssystem der DDR von 1949 bis 1990 – den Änderungen im Bildungssystem der SBZ folgend – strikt zentralistisch und auf der ideologischen Grundlage des Marxismus-Leninismus geregelt. Mit dem Schulgesetz von 1959 war die zunächst achtklassige Einheitsschule obligatorisch, an die sich die vierjährige Erweiterte Oberschule anstelle des Gymnasiums anschloss. Die ganztägige Betreuung in Schulhorten ermöglichte immer mehr Müttern die Berufstätigkeit.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['1949 bestätigte Grundgesetz Bundesrepublik Deutschland Bundesländern Kulturföderalismus Bildungshoheit , bereits Weimarer Republik innehatten', ' Sie führten Schularten Schuldauer ', ' Zu Anfang vorsichtig bemüht, regional unterschiedliche Schulsystem einheitlicher gestalten langsam auszubauen', ' Das Hamburger Abkommen 1964 setzte gemeinsamen Rahmen, u', ' a', ' Einführung Hauptschule', ' Dagegen wurde Bildungssystem DDR 1949 1990 – Änderungen Bildungssystem SBZ folgend – strikt zentralistisch ideologischen Grundlage Marxismus-Leninismus geregelt', ' Mit Schulgesetz 1959 zunächst achtklassige Einheitsschule obligatorisch, vierjährige Erweiterte Oberschule anstelle Gymnasiums anschloss', ' Die ganztägige Betreuung Schulhorten ermöglichte immer mehr Müttern Berufstätigkeit']"
"Einschneidend stellte der Sputnik-Schock 1957 das Bildungswesen aller westlichen Staaten in Frage – in Deutschland sprach Georg Picht 1964 von einer angeblichen „Bildungskatastrophe“ und einem Modernisierungsdefizit in inhaltlicher und sozialer Hinsicht. Andere wie Ralf Dahrendorf kritisierten die fehlende Erziehung zu demokratischen Bürgern. Für die zweite industrielle Revolution galten mehr und besser qualifizierte Absolventen als zwingend erforderlich. Intensive Reformdiskussionen ließen unter anderem den Deutschen Bildungsrat entstehen, dessen Strukturplan für das deutsche Bildungs- und Erziehungswesen maßgebend wurde. Die Bund-Länder-Kommission für Bildungsplanung und Forschungsförderung legte 1973 den ersten Bildungsgesamtplan vor, auf dessen Grundlage der Auf- und Ausbau des Bildungswesens stattfinden sollte. Er ging aber schon bei der Verabschiedung im parteipolitischen Streit vor allem um die Gesamtschule unter, in den 1980er Jahren stagnierten die bildungspolitischen Bemühungen auch wegen der Kosten. Bei der Integration der neuen ostdeutschen Bundesländer nach 1990 wurden die westdeutschen Strukturen mit geringen Abweichungen auf den Osten übertragen.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Einschneidend stellte Sputnik-Schock 1957 Bildungswesen westlichen Staaten Frage – Deutschland sprach Georg Picht 1964 angeblichen „Bildungskatastrophe“ Modernisierungsdefizit inhaltlicher sozialer Hinsicht', ' Andere Ralf Dahrendorf kritisierten fehlende Erziehung demokratischen Bürgern', ' Für zweite industrielle Revolution galten mehr besser qualifizierte Absolventen zwingend erforderlich', ' Intensive Reformdiskussionen ließen Deutschen Bildungsrat entstehen, Strukturplan deutsche Bildungs- Erziehungswesen maßgebend wurde', ' Die Bund-Länder-Kommission Bildungsplanung Forschungsförderung legte 1973 ersten Bildungsgesamtplan vor, Grundlage Auf- Ausbau Bildungswesens stattfinden sollte', ' Er ging schon Verabschiedung parteipolitischen Streit Gesamtschule unter, 1980er Jahren stagnierten bildungspolitischen Bemühungen wegen Kosten', ' Bei Integration neuen ostdeutschen Bundesländer 1990 wurden westdeutschen Strukturen geringen Abweichungen Osten übertragen']"
"Erst Ende der 1990er Jahre rückte das Thema Bildung wieder in den Vordergrund, was vor allem auf schlechte Ergebnisse in internationalen Vergleichsstudien zurückzuführen ist. Auch trat zunehmend Fachkräftemangel auf. Mit Blick auf erfolgreichere Länder wie z. B. Finnland wurden zahlreiche Änderungen vorgeschlagen, die das Thema der Bildung wieder in den Vordergrund der Politik rückten. Besonders das schlechte schulische Abschneiden vieler Kinder mit Migrationshintergrund bot dazu Anlass. Auch im Blick auf den internationalen Vergleich sowie das DDR-Bildungssystem setzten sich das Abitur nach zwölf Schuljahren und das Zentralabitur weitgehend durch. Das Bemühen um Qualitätssicherung z. B. durch Vergleichsarbeiten und Schulevaluation wurde mit hohem Kostenaufwand umgesetzt, die Bundesländer gründeten ein Institut zur Qualitätsentwicklung im Bildungswesen .",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Erst Ende 1990er Jahre rückte Thema Bildung Vordergrund, schlechte Ergebnisse internationalen Vergleichsstudien zurückzuführen ist', ' Auch trat zunehmend Fachkräftemangel auf', ' Mit Blick erfolgreichere Länder z', ' B', ' Finnland wurden zahlreiche Änderungen vorgeschlagen, Thema Bildung Vordergrund Politik rückten', ' Besonders schlechte schulische Abschneiden vieler Kinder Migrationshintergrund bot Anlass', ' Auch Blick internationalen Vergleich sowie DDR-Bildungssystem setzten Abitur zwölf Schuljahren Zentralabitur weitgehend durch', ' Das Bemühen Qualitätssicherung z', ' B', ' Vergleichsarbeiten Schulevaluation wurde hohem Kostenaufwand umgesetzt, Bundesländer gründeten Institut Qualitätsentwicklung Bildungswesen ']"
"Die wichtigste Schule im Primarbereich ist in Deutschland die Grundschule, deren Besuch für alle Kinder, die nicht die Angebote einer Förderschule in Anspruch nehmen, verbindlich ist. Grundschulen umfassen in der Regel die Klassenstufen 1–4 ; auf lokaler Ebene existieren daneben weitere Modelle.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Die wichtigste Schule Primarbereich Deutschland Grundschule, deren Besuch Kinder, nicht Angebote Förderschule Anspruch nehmen, verbindlich ist', ' Grundschulen umfassen Regel Klassenstufen 1–4 ; lokaler Ebene existieren daneben weitere Modelle']"
"Die Sekundarstufe I umfasst die Orientierungsstufe und die sogenannte Mittelstufe der Oberschule bzw. weiterführenden Schule, im Detail Hauptschule, Realschule und Sekundarbereich I des Gymnasiums und der Gesamtschule. Die Sekundarstufe I endet dabei mit dem Hauptschulabschluss oder der mittleren Reife. Letztere berechtigt – versehen mit entsprechendem Qualifikations­vermerk – zum Eintritt in die gymnasiale Oberstufe.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Die Sekundarstufe I umfasst Orientierungsstufe sogenannte Mittelstufe Oberschule bzw', ' weiterführenden Schule, Detail Hauptschule, Realschule Sekundarbereich I Gymnasiums Gesamtschule', ' Die Sekundarstufe I endet dabei Hauptschulabschluss mittleren Reife', ' Letztere berechtigt – versehen entsprechendem Qualifikations\xadvermerk – Eintritt gymnasiale Oberstufe']"
"Die Sekundarstufe II umfasst die sogenannte Oberstufe. Das Berufsbildungs­system, bestehend aus dem dualen System von Berufsausbildung und Berufsschule, Berufsvorbereitungsjahr, Berufsfachschule, Fachoberschule und beruflichem Gymnasium sowie der gymnasialen Oberstufe, zählen zum Sekundarbereich II. Viele Abiturienten streben eine Berufsausbildung an und durchlaufen diesen Sekundarbereich II im Grunde zweifach.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Die Sekundarstufe II umfasst sogenannte Oberstufe', ' Das Berufsbildungs\xadsystem, bestehend dualen System Berufsausbildung Berufsschule, Berufsvorbereitungsjahr, Berufsfachschule, Fachoberschule beruflichem Gymnasium sowie gymnasialen Oberstufe, zählen Sekundarbereich II', ' Viele Abiturienten streben Berufsausbildung durchlaufen Sekundarbereich II Grunde zweifach']"
"Neben dem System aus Regelschulen in öffentlicher Trägerschaft gibt es ein System aus weiteren Schulen und Bildungseinrichtungen, die teils in öffentlicher und teils in privater Trägerschaft geführt werden. Besondere Institute, Abendschulen und Kollegs ermöglichen die Weiterbildung Erwachsener und das Nachholen versäumter oder fehlender Abschlüsse. Förderschulen können Kinder und Jugendliche beschult werden, die aufgrund von Behinderungen an anderen Schulen benachteiligt wären.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Neben System Regelschulen öffentlicher Trägerschaft gibt System weiteren Schulen Bildungseinrichtungen, teils öffentlicher teils privater Trägerschaft geführt werden', ' Besondere Institute, Abendschulen Kollegs ermöglichen Weiterbildung Erwachsener Nachholen versäumter fehlender Abschlüsse', ' Förderschulen Kinder Jugendliche beschult werden, aufgrund Behinderungen Schulen benachteiligt wären']"
"Der tertiäre Bildungsbereich in Deutschland umfasst die Bildung an Universitäten, Hochschulen, Berufsakademien, Fachakademien und Fachschulen.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Der tertiäre Bildungsbereich Deutschland umfasst Bildung Universitäten, Hochschulen, Berufsakademien, Fachakademien Fachschulen']"
"Der quartäre Bildungsbereich umfasst alle Formen der Weiterbildung, welche vom Deutschen Bildungsrat definiert wurde als Fortsetzung oder Wiederaufnahme organisierten Lernens nach Abschluss einer unterschiedlich ausgedehnten ersten Bildungsphase. In Deutschland wird er als eigene Stufe betrachtet, während die OECD ihn dem tertiären Bereich zurechnet. Der anteilsmäßig bedeutendste Teil der Weiterbildung ist das informelle Lernen, welcher jedoch schwer zu fassen ist. Ihm gegenüber steht die formale Weiterbildung, welche sich in berufliche, allgemeine und politische Weiterbildung untergliedert. Im Bereich der beruflichen Weiterbildung ist oft auch vom lebenslangen Lernen die Rede. Die üblichen Orte des Weiterbildungssektors sind die Bibliotheken, Volkshochschulen, Bildungszentren der Kirchen, Gewerkschaften und Kammern, private und betriebliche Bildungseinrichtungen, Hochschulen und Abendgymnasien. Ein neuer Trend ist das E-Learning, welcher besonders im Bereich der Weiterbildung immer populärer wird. Generell gewinnt die Weiterbildung in jüngster Zeit stark an Bedeutung, da, um mit dem heutigen gesellschaftlichen Wandel Schritt halten zu können, ein ständiges Fortbilden notwendig ist.",https://de.wikipedia.org/wiki/Bildungssystem_in_Deutschland,"['Der quartäre Bildungsbereich umfasst Formen Weiterbildung, Deutschen Bildungsrat definiert wurde Fortsetzung Wiederaufnahme organisierten Lernens Abschluss unterschiedlich ausgedehnten ersten Bildungsphase', ' In Deutschland eigene Stufe betrachtet, OECD tertiären Bereich zurechnet', ' Der anteilsmäßig bedeutendste Teil Weiterbildung informelle Lernen, jedoch schwer fassen ist', ' Ihm gegenüber steht formale Weiterbildung, berufliche, allgemeine politische Weiterbildung untergliedert', ' Im Bereich beruflichen Weiterbildung oft lebenslangen Lernen Rede', ' Die üblichen Orte Weiterbildungssektors Bibliotheken, Volkshochschulen, Bildungszentren Kirchen, Gewerkschaften Kammern, private betriebliche Bildungseinrichtungen, Hochschulen Abendgymnasien', ' Ein neuer Trend E-Learning, besonders Bereich Weiterbildung immer populärer wird', ' Generell gewinnt Weiterbildung jüngster Zeit stark Bedeutung, da, heutigen gesellschaftlichen Wandel Schritt halten können, ständiges Fortbilden notwendig ist']"
