,sentence
10,"Bos output: ['Bundesgesetze Mitte Bundestages sowie Bundesregierung Bundesrat eingebracht – letztere müssen Entwürfe jeweils gegenseitig Stellungnahme vorlegen, bevor Parlament zugeleitet werden, meist Vorfeld Bundes- Landesministerien Referentenentwurf Gesetzgebungsprozess vorbereitet', ' Eingebracht Bundestag finden drei Lesungen Gesetzesvorlage statt', ' Nimmt Schlussabstimmung Vorlage dritten Lesung an, Bundesrat weitergeleitet', ' Beruft nicht Vermittlungsausschuss lehnt Einspruch ab, Kraft treten', ' Ansonsten hängen Auswirkungen Votums Bundesrates davon ab, zustimmungsbedürftiges nicht zustimmungsbedürftiges Bundesgesetz handelt', ' In Regel Vermittlungsausschuss angerufen, Aufgabe ist, Kompromissvorschlag auszuarbeiten, Bundestag Bundesrat zustimmen können', ' Verweigert Bundesrat Bundesgesetz erneut Zustimmung, zustimmungsbedürftiges Bundesgesetz endgültig gescheitert, nicht zustimmungsbedürftigen Bundesgesetz Bundestag neuerlichen Abstimmung Votum überstimmen kann', ' Außerdem Bundesrat Einspruch zurückziehen', ' Am Ende Gesetzgebungsprozesses unterschreibt Bundespräsident Bundesgesetz schließlich', ' Er bestätigt Ausfertigung, Bundesgesetz verfassungsgemäßer Form zustande gekommen ', ' Wenn überzeugt ist, auszufertigende Bundesgesetz Grundgesetz zuwiderläuft, etlichen Rechtswissenschaftlern materielles Prüfungsrecht zugestanden', ' Nach Ausfertigung Bundesgesetz Bundesgesetzblatt veröffentlicht tritt Kraft'] ### Input: Bundesgesetze können aus der Mitte des Bundestages sowie von der Bundesregierung und vom Bundesrat eingebracht werden – letztere müssen sich die Entwürfe jeweils gegenseitig zur Stellungnahme vorlegen, bevor sie dem Parlament zugeleitet werden, und werden meist im Vorfeld in Bundes- und Landesministerien als Referentenentwurf für den Gesetzgebungsprozess vorbereitet. Eingebracht in den Bundestag finden drei Lesungen über die Gesetzesvorlage statt. Nimmt dieser in der Schlussabstimmung die Vorlage in der dritten Lesung an, wird sie an den Bundesrat weitergeleitet. Beruft dieser nicht den Vermittlungsausschuss ein oder lehnt es durch Einspruch ab, kann es in Kraft treten. Ansonsten hängen die Auswirkungen des Votums des Bundesrates davon ab, ob es sich um ein zustimmungsbedürftiges oder ein nicht zustimmungsbedürftiges Bundesgesetz handelt. In der Regel wird der Vermittlungsausschuss angerufen, dessen Aufgabe es ist, einen Kompromissvorschlag auszuarbeiten, dem Bundestag und Bundesrat zustimmen können. Verweigert der Bundesrat dem Bundesgesetz erneut die Zustimmung, so ist ein zustimmungsbedürftiges Bundesgesetz endgültig gescheitert, während bei einem nicht zustimmungsbedürftigen Bundesgesetz der Bundestag mit einer neuerlichen Abstimmung dieses Votum überstimmen kann. Außerdem kann der Bundesrat seinen Einspruch zurückziehen. Am Ende des Gesetzgebungsprozesses unterschreibt der Bundespräsident das Bundesgesetz schließlich. Er bestätigt mit dieser Ausfertigung, dass dieses Bundesgesetz in verfassungsgemäßer Form zustande gekommen ist . Wenn er überzeugt ist, dass das auszufertigende Bundesgesetz dem Grundgesetz zuwiderläuft, wird ihm von etlichen Rechtswissenschaftlern ein materielles Prüfungsrecht zugestanden. Nach der Ausfertigung wird das Bundesgesetz im Bundesgesetzblatt veröffentlicht und tritt in Kraft. EOS"
11,"Bos output: ['Das Gesundheitssystem bzw', ' Gesundheitswesen umfasst Personen, Organisationen, Einrichtungen, Regelungen Prozesse, deren Aufgabe Förderung Erhaltung Gesundheit sowie deren Sicherung Prävention Behandlung Krankheiten Verletzungen ist', ' Der Begriff Gesundheitswesen dient Beschreibung äußerst komplexen Gesundheitssystems Krankenversorgung Gesunderhaltung, wogegen Gesundheitswirtschaft ganze neben stationären ambulanten Versorgung Kranker Vorbeugung Krankheiten Gesunden Herstellung Arzneimitteln Medizinprodukten, Gesundheitstourismus, Wellness- sowie Fitnessbranche umfasst'] ### Input: Das Gesundheitssystem bzw. Gesundheitswesen umfasst alle Personen, Organisationen, Einrichtungen, Regelungen und Prozesse, deren Aufgabe die Förderung und Erhaltung der Gesundheit sowie deren Sicherung durch Prävention und Behandlung von Krankheiten und Verletzungen ist. Der Begriff Gesundheitswesen dient der Beschreibung des äußerst komplexen Gesundheitssystems zur Krankenversorgung und Gesunderhaltung, wogegen die Gesundheitswirtschaft als ganze neben der stationären und ambulanten Versorgung Kranker und der Vorbeugung gegen Krankheiten bei Gesunden unter anderem auch die Herstellung von Arzneimitteln und Medizinprodukten, den Gesundheitstourismus, die Wellness- sowie die Fitnessbranche umfasst. EOS"
12,"Bos output: ['Die Schutzpolizei übernimmt allgemeine Aufgaben Aufrechterhaltung öffentlichen Sicherheit Ordnung, allgemeine Strafverfolgung Straßenverkehrsüberwachung', ' Ferner übernimmt Eilbedürftigkeit Aufgaben Verkehrslenkung Verkehrsregelung Verkehrspolizei'] ### Input: Die Schutzpolizei übernimmt vor allem allgemeine Aufgaben der Aufrechterhaltung der öffentlichen Sicherheit und Ordnung, allgemeine Strafverfolgung und Straßenverkehrsüberwachung. Ferner übernimmt sie bei Eilbedürftigkeit die Aufgaben der Verkehrslenkung und Verkehrsregelung der Verkehrspolizei. EOS"
13,"Bos output: ['Weil seit 1972 Sterberate alljährlich Geburtenrate liegt, politisch Orientierung familienfreundlichen, kinder- nachwuchsfördernden Gesellschaft Mehrkindfamilien angestrebt ', ' Als zentrale Voraussetzung dafür werten Experten Vereinbarkeit Familie Beruf', ' Bei fortgesetzt niedrigen Geburtenraten, insbesondere Bevölkerungsschichten mittleren höheren Bildungsabschlüssen, Deutschland soziale, ökonomische geopolitische Probleme vorhergesagt'] ### Input: Weil seit 1972 die Sterberate alljährlich über der Geburtenrate liegt, wird politisch die Orientierung zu einer familienfreundlichen, kinder- und nachwuchsfördernden Gesellschaft mit Mehrkindfamilien angestrebt . Als zentrale Voraussetzung dafür werten Experten die Vereinbarkeit von Familie und Beruf. Bei fortgesetzt niedrigen Geburtenraten, insbesondere in Bevölkerungsschichten mit mittleren und höheren Bildungsabschlüssen, werden für Deutschland soziale, ökonomische und geopolitische Probleme vorhergesagt. EOS"
14,"Bos output: ['Von 1921 wurden reichsweit Polizeischulen Polizeiberufsschulen eingerichtet', ' Damit entstand erstmals strukturierte, weiterhin weitgehend militärisch ausgerichtete Ausbildung', ' Diese zuvor, überhaupt, meist jeweiligen Einheiten neu eingestellte Polizisten parallel Alltagsarbeit stattgefunden', ' Zunächst Schulen Nachbildung bereits Dienst befindlicher Polizisten ausgelastet', ' 1923 nahm Höhere Polizeischule Potsdam-Eiche regulären Betrieb Ausbildung Polizeioffiziere auf'] ### Input: Von 1921 an wurden reichsweit Polizeischulen und Polizeiberufsschulen eingerichtet. Damit entstand erstmals eine strukturierte, wenn auch weiterhin weitgehend militärisch ausgerichtete Ausbildung. Diese hatte zuvor, wenn überhaupt, meist in den jeweiligen Einheiten für neu eingestellte Polizisten parallel zur Alltagsarbeit stattgefunden. Zunächst waren die Schulen vor allem mit der Nachbildung bereits im Dienst befindlicher Polizisten ausgelastet. 1923 nahm die Höhere Polizeischule Potsdam-Eiche ihren regulären Betrieb zur Ausbildung der Polizeioffiziere auf. EOS"
15,"Bos output: ['Die Qualität Gesundheitssystemen beurteilen schwierig', ' So beispielsweise hoher Anteil Kranken Bevölkerung nicht unbedingt schlechte medizinische Versorgung hindeuten', ' Im Gegenteil Diabetiker Land schlechter medizinischer Versorgung bald sterben Krankenstatistik herausfallen', ' In Land guter medizinischer Versorgung hingegen lange weiterleben, Statistik Kranker geführt', ' Ein hoher Anteil kranker Menschen Bevölkerung allerdings Indiz dafür, medizinische Versorgung mehr Behandlung Symptomen kümmert Beseitigung Ursachen', ' Der Diabetiker erhält beispielsweise Insulin, Erkrankung weiterleben können, konkreten Ursachen Funktionsstörung nicht fest- gegebenenfalls abgestellt', ' Ähnlich sieht Reihe weiterer, Wesentlichen Ernährung Lebensstil bedingter Erkrankungen aus, großen Teil Pflegefälle verantwortlich sind'] ### Input: Die Qualität von Gesundheitssystemen zu beurteilen ist schwierig. So muss beispielsweise ein hoher Anteil an Kranken in der Bevölkerung nicht unbedingt auf eine schlechte medizinische Versorgung hindeuten. Im Gegenteil wird ein Diabetiker in einem Land mit schlechter medizinischer Versorgung bald sterben und damit aus der Krankenstatistik herausfallen. In einem Land mit guter medizinischer Versorgung hingegen kann er noch lange weiterleben, wird in der Statistik aber als Kranker geführt. Ein hoher Anteil kranker Menschen an der Bevölkerung ist allerdings ein Indiz dafür, dass die medizinische Versorgung sich mehr um die Behandlung von Symptomen kümmert als um die Beseitigung der Ursachen. Der Diabetiker erhält beispielsweise Insulin, um mit seiner Erkrankung weiterleben zu können, die konkreten Ursachen der Funktionsstörung werden aber nicht fest- und gegebenenfalls abgestellt. Ähnlich sieht es bei einer Reihe weiterer, im Wesentlichen durch Ernährung und Lebensstil bedingter Erkrankungen aus, die für einen großen Teil der Pflegefälle verantwortlich sind. EOS"
16,"Bos output: ['Aus Nahen Osten kommende jungsteinzeitliche Bauern, Vieh Kulturpflanzen Anatolien Balkan zuwanderten , verdrängten ab etwa 5700/5600 v', ' Chr', ' Jäger Sammler Mittelsteinzeit Südhälfte Deutschlands', ' Erst 4000 v', ' Chr', ' wurden aneignenden Kulturen Jäger, Sammler Fischer Norddeutschland bäuerlichen, durchgehend sesshaften Kulturen abgelöst; letzte Kultur Jäger Norddeutschland gilt Ertebølle-Kultur'] ### Input: Aus dem Nahen Osten kommende jungsteinzeitliche Bauern, die mit ihrem Vieh und ihren Kulturpflanzen über Anatolien und den Balkan zuwanderten , verdrängten ab etwa 5700/5600 v. Chr. die Jäger und Sammler der Mittelsteinzeit aus der Südhälfte Deutschlands. Erst um 4000 v. Chr. wurden die aneignenden Kulturen der Jäger, Sammler und Fischer auch in Norddeutschland von bäuerlichen, nun durchgehend sesshaften Kulturen abgelöst; als letzte Kultur der Jäger in Norddeutschland gilt die Ertebølle-Kultur. EOS"
17,"Bos output: ['Mitte 8', ' Jahrhunderts trat Frankenreich Pippin Jüngere Dynastie Karolinger Königsnachfolge dahin herrschenden Merowinger an', ' Nach Unterwerfung Zwangsmissionierung Sachsen Eroberungen Italien, Nordspanien östlichen Grenzraum Karl Großen wurde Vielvölkerreich neu organisiert', ' Kirchenorganisation Kulturförderung knüpften partiell römische Traditionen ', ' Zu Weihnachten 800 ließ Karl Papst Rom Kaiser krönen erhob Anspruch Nachfolge Römischen Reiches , Konkurrenz byzantinischen Kaisern führte ', ' Nach Karls Tod 814 kam Kämpfen Nachkommen, 843 Vertrag Verdun Dreiteilung Reiches Ostfrankenreich „Ludwig Deutschen“, Westfrankenreich Lotharingien führten'] ### Input: Mitte des 8. Jahrhunderts trat im Frankenreich Pippin der Jüngere aus der Dynastie der Karolinger die Königsnachfolge der bis dahin herrschenden Merowinger an. Nach der Unterwerfung und Zwangsmissionierung der Sachsen und Eroberungen in Italien, Nordspanien und im östlichen Grenzraum unter Karl dem Großen wurde das Vielvölkerreich neu organisiert. Kirchenorganisation und Kulturförderung knüpften partiell an römische Traditionen an . Zu Weihnachten 800 ließ sich Karl vom Papst in Rom zum Kaiser krönen und erhob damit Anspruch auf die Nachfolge des Römischen Reiches , was zur Konkurrenz mit den byzantinischen Kaisern führte . Nach Karls Tod 814 kam es zu Kämpfen unter seinen Nachkommen, die 843 im Vertrag von Verdun zur Dreiteilung des Reiches in das Ostfrankenreich unter „Ludwig dem Deutschen“, das Westfrankenreich und Lotharingien führten. EOS"
18,Bos output: ['Im Jahr 2011 gab hochrangige Konsensgruppe Fachkräftebedarf Zuwanderung'] ### Input: Im Jahr 2011 gab es die hochrangige Konsensgruppe Fachkräftebedarf und Zuwanderung. EOS
19,"Bos output: ['Das Ziel Imperium eingedrungenen Gruppen Teilhabe Wohlstand Imperiums, Strukturen Kultur keineswegs zerstören wollten', ' Doch folgenden militärischen Konflikte innerrömische Machtkämpfe führten politischen Erosionsprozess Westreichs', ' Im Zuge Untergangs Westroms kam Bildung germanisch-romanischer Nachfolgereiche Boden westlichen Imperiums', ' Das Oströmische Reich bestand hingegen 1453 fort unterhielt weiterhin Kontakte Westen'] ### Input: Das Ziel der in das Imperium eingedrungenen Gruppen war vor allem Teilhabe am Wohlstand des Imperiums, dessen Strukturen und Kultur sie keineswegs zerstören wollten. Doch die folgenden militärischen Konflikte und innerrömische Machtkämpfe führten zu einem politischen Erosionsprozess des Westreichs. Im Zuge des Untergangs Westroms kam es zur Bildung germanisch-romanischer Nachfolgereiche auf dem Boden des westlichen Imperiums. Das Oströmische Reich bestand hingegen bis 1453 fort und unterhielt weiterhin Kontakte in den Westen. EOS"
20,"Bos output: ['Für Anwendung besonders rauer Umgebung klimatisch widrigen Bedingungen wurden sogenannten Ruggedized-Notebooks konzipiert, robust ausgeführt sind, Freiluft- Freilandeinsatz geeignet sind', ' Es gibt Fully-ruggedized-Geräte, vollständig äußere Einflüsse geschützt sind, Semi-ruggedized-Notebooks, teilweise bestimmten Widrigkeiten widerstehen, etwa Spritzwasser Tastatur Stürzen Dezimetern Höhe'] ### Input: Für die Anwendung in besonders rauer Umgebung oder unter klimatisch widrigen Bedingungen wurden die sogenannten Ruggedized-Notebooks konzipiert, die so robust ausgeführt sind, dass sie für Freiluft- und Freilandeinsatz geeignet sind. Es gibt Fully-ruggedized-Geräte, die vollständig gegen äußere Einflüsse geschützt sind, und Semi-ruggedized-Notebooks, die nur teilweise bestimmten Widrigkeiten widerstehen, so etwa Spritzwasser auf die Tastatur oder Stürzen aus einigen Dezimetern Höhe. EOS"
21,"Bos output: ['Auf Neandertaler, Fundort Neandertal, östlich Düsseldorf, benannt, folgte etwa 40', '000 Jahren Afrika zugewanderte Homo sapiens, anatomisch moderne Mensch', ' Die Neandertaler verschwanden zwar, ließ jüngst belegen, beide zumindest gemeinsame Nachkommen hatten', ' Die jungpaläolithische Kleinkunst älteste bekannte Kunst Menschheit'] ### Input: Auf die Neandertaler, nach einem Fundort im Neandertal, östlich von Düsseldorf, benannt, folgte vor etwa 40.000 Jahren der aus Afrika zugewanderte Homo sapiens, der anatomisch moderne Mensch. Die Neandertaler verschwanden zwar, doch ließ sich jüngst belegen, dass beide zumindest einige gemeinsame Nachkommen hatten. Die jungpaläolithische Kleinkunst ist die älteste bekannte Kunst der Menschheit. EOS"
22,"Bos output: ['In Deutschland Universitäten, Technische Universitäten Fachhochschulen Einrichtungen Forschung wissenschaftlichen Lehre', ' Die Universitäten Promotions- Habilitationsverfahren berechtigt', ' Beide Verfahren sollen Bildung nachweisen wissenschaftliche Erkenntnisse enthalten', ' Mit Einführung internationaler Abschlussbezeichnungen Zuge Bologna-Prozesses akademischen Bildungsbereich bisherige Trennung Abschlüsse Fachhochschulen Universitäten aufgeweicht', ' Einzelne Hochschuleinrichtungen bilden überhaupt nicht tertiären Bildungsbereich aus, postgradualen Bildung ausschließlich Promotion Habilitation eingerichtet', ' Die meisten deutschen Hochschulen öffentlicher Trägerschaft, Forschung Drittmittel finanziert '] ### Input: In Deutschland sind Universitäten, Technische Universitäten und Fachhochschulen Einrichtungen der Forschung und wissenschaftlichen Lehre. Die Universitäten sind zu Promotions- und Habilitationsverfahren berechtigt. Beide Verfahren sollen Bildung nachweisen und wissenschaftliche Erkenntnisse enthalten. Mit der Einführung internationaler Abschlussbezeichnungen im Zuge des Bologna-Prozesses wird im akademischen Bildungsbereich die bisherige Trennung der Abschlüsse zwischen Fachhochschulen und Universitäten aufgeweicht. Einzelne Hochschuleinrichtungen bilden überhaupt nicht im tertiären Bildungsbereich aus, sondern sind zur postgradualen Bildung oder ausschließlich zur Promotion und Habilitation eingerichtet. Die meisten deutschen Hochschulen sind in öffentlicher Trägerschaft, werden aber in ihrer Forschung über Drittmittel finanziert . EOS"
